Id,Label,POS_Category,Total_Frequency,partie
ouvrir,ouvrir,VERB,118,Partie_1
eau,eau,NOUN,116,Partie_1
intérieur,intérieur,NOUN,116,Partie_1
tomber,tomber,VERB,116,Partie_1
fond,fond,NOUN,115,Partie_2
homme,homme,NOUN,115,Partie_1
mère,mère,NOUN,115,Partie_1
tourner,tourner,VERB,115,Partie_2
air,air,NOUN,114,Partie_1
vérité,vérité,NOUN,114,Partie_1
chemin,chemin,NOUN,113,Partie_2
femme,femme,NOUN,113,Partie_1
fin,fin,NOUN,113,Partie_1
oublier,oublier,VERB,113,Partie_2
pied,pied,NOUN,113,Partie_1
sortir,sortir,VERB,113,Partie_2
dos,dos,NOUN,112,Partie_1
force,force,NOUN,112,Partie_1
lever,lever,VERB,112,Partie_2
servir,servir,VERB,112,Partie_2
besoin,besoin,NOUN,111,Partie_1
prêt,prêt,ADJ,111,Partie_2
simple,simple,ADJ,111,Partie_2
sol,sol,NOUN,111,Partie_2
histoire,histoire,NOUN,110,Partie_1
cheveu,cheveu,NOUN,109,Partie_1
secret,secret,NOUN,109,Partie_2
droit,droit,NOUN,107,Partie_2
importer,importer,VERB,107,Partie_2
odeur,odeur,NOUN,107,Partie_2
pensée,pensée,NOUN,107,Partie_2
retrouver,retrouver,VERB,107,Partie_1
répondre,répondre,VERB,107,Partie_2
compte,compte,NOUN,106,Partie_2
Victoria,Victoria,PROPN,105,Partie_2
finir,finir,VERB,105,Partie_2
mauvais,mauvais,ADJ,105,Partie_2
sûr,sûr,ADJ,105,Partie_2
tenir,tenir,VERB,105,Partie_1
traverser,traverser,VERB,105,Partie_2
ami,ami,NOUN,104,Partie_2
coup,coup,NOUN,104,Partie_1
feu,feu,NOUN,103,Partie_1
sombre,sombre,ADJ,103,Partie_2
Cassandre,Cassandre,PROPN,102,Partie_1
parler,parler,VERB,102,Partie_2
poitrine,poitrine,NOUN,102,Partie_2
rose,rose,PROPN,102,Partie_1
souffrance,souffrance,NOUN,102,Partie_2
chair,chair,NOUN,101,Partie_2
retrouver,retrouver,VERB,101,Partie_2
rire,rire,NOUN,101,Partie_2
Palladium,Palladium,PROPN,100,Partie_2
part,part,NOUN,100,Partie_1
rejoindre,rejoindre,VERB,100,Partie_2
table,table,NOUN,100,Partie_2
quitter,quitter,VERB,99,Partie_2
oreille,oreille,NOUN,98,Partie_2
poser,poser,VERB,98,Partie_1
terre,terre,NOUN,98,Partie_1
traverser,traverser,VERB,98,Partie_1
cacher,cacher,VERB,97,Partie_2
compagnon,compagnon,NOUN,97,Partie_2
mourir,mourir,VERB,97,Partie_2
raison,raison,NOUN,97,Partie_1
verre,verre,NOUN,97,Partie_2
long,long,ADJ,96,Partie_1
abandonner,abandonner,VERB,95,Partie_2
empêcher,empêcher,VERB,95,Partie_2
oublier,oublier,VERB,95,Partie_1
parole,parole,NOUN,95,Partie_2
Eidolôn,Eidolôn,PROPN,94,Partie_2
bleu,bleu,ADJ,94,Partie_2
cause,cause,NOUN,94,Partie_2
garder,garder,VERB,94,Partie_2
Teslan,Teslan,PROPN,93,Partie_2
exister,exister,VERB,93,Partie_1
garder,garder,VERB,93,Partie_1
idée,idée,NOUN,93,Partie_2
peine,peine,NOUN,93,Partie_2
arrêter,arrêter,VERB,92,Partie_1
commencer,commencer,VERB,92,Partie_2
fleur,fleur,NOUN,92,Partie_1
larme,larme,NOUN,92,Partie_2
manière,manière,NOUN,92,Partie_2
décider,décider,VERB,91,Partie_2
face,face,NOUN,91,Partie_2
pierre,pierre,NOUN,91,Partie_2
porte,porte,NOUN,91,Partie_1
posséder,posséder,VERB,91,Partie_2
présent,présent,NOUN,91,Partie_2
rouge,rouge,ADJ,91,Partie_1
exister,exister,VERB,90,Partie_2
forêt,forêt,NOUN,90,Partie_1
revenir,revenir,VERB,90,Partie_1
sens,sens,NOUN,90,Partie_2
tourner,tourner,VERB,90,Partie_1
bruit,bruit,NOUN,89,Partie_2
ciel,ciel,NOUN,89,Partie_1
lèvre,lèvre,NOUN,89,Partie_1
odeur,odeur,NOUN,89,Partie_1
ombre,ombre,NOUN,89,Partie_1
partie,partie,NOUN,89,Partie_1
royaume,royaume,NOUN,89,Partie_2
beauté,beauté,NOUN,88,Partie_2
bois,bois,NOUN,88,Partie_2
bout,bout,NOUN,88,Partie_1
cri,cri,NOUN,88,Partie_2
enfant,enfant,NOUN,88,Partie_1
manquer,manquer,VERB,88,Partie_2
tendre,tendre,VERB,88,Partie_2
changer,changer,VERB,87,Partie_1
combattant,combattant,NOUN,87,Partie_2
continuer,continuer,VERB,87,Partie_1
couleur,couleur,NOUN,87,Partie_2
jeter,jeter,VERB,87,Partie_2
milieu,milieu,NOUN,87,Partie_2
obliger,obliger,VERB,87,Partie_2
quitter,quitter,VERB,87,Partie_1
sens,sens,NOUN,87,Partie_1
ville,ville,NOUN,87,Partie_2
aile,aile,NOUN,86,Partie_2
cacher,cacher,VERB,86,Partie_1
choisir,choisir,VERB,86,Partie_2
créature,créature,NOUN,86,Partie_1
famille,famille,NOUN,86,Partie_1
ligne,ligne,NOUN,86,Partie_2
miroir,miroir,NOUN,86,Partie_2
pensée,pensée,NOUN,86,Partie_1
réussir,réussir,VERB,86,Partie_2
instant,instant,NOUN,85,Partie_2
mère,mère,NOUN,85,Partie_2
mémoire,mémoire,NOUN,85,Partie_1
reste,reste,NOUN,85,Partie_2
retenir,retenir,VERB,85,Partie_2
soleil,soleil,NOUN,85,Partie_2
souffrance,souffrance,NOUN,85,Partie_1
aider,aider,VERB,84,Partie_2
arme,arme,NOUN,84,Partie_2
relever,relever,VERB,84,Partie_2
étrange,étrange,ADJ,84,Partie_1
chair,chair,NOUN,83,Partie_1
douleur,douleur,NOUN,83,Partie_1
intérieur,intérieur,NOUN,83,Partie_2
jambe,jambe,NOUN,83,Partie_2
langue,langue,NOUN,83,Partie_2
prêt,prêt,ADJ,83,Partie_1
puissant,puissant,ADJ,83,Partie_2
reprendre,reprendre,VERB,83,Partie_2
énergie,énergie,NOUN,83,Partie_2
Megara,Megara,PROPN,82,Partie_2
geste,geste,NOUN,82,Partie_2
lieu,lieu,NOUN,82,Partie_2
utiliser,utiliser,VERB,82,Partie_2
accepter,accepter,VERB,81,Partie_1
accepter,accepter,VERB,81,Partie_2
battre,battre,VERB,81,Partie_2
aider,aider,VERB,80,Partie_1
cas,cas,NOUN,80,Partie_2
chance,chance,NOUN,80,Partie_2
cœurs,cœurs,NOUN,80,Partie_2
désir,désir,NOUN,80,Partie_2
froid,froid,ADJ,80,Partie_2
lien,lien,NOUN,80,Partie_2
maître,maître,PROPN,80,Partie_2
offrir,offrir,VERB,80,Partie_2
réponse,réponse,NOUN,80,Partie_2
servir,servir,VERB,80,Partie_1
Mantra,Mantra,PROPN,79,Partie_2
colère,colère,NOUN,79,Partie_2
enfoncer,enfoncer,VERB,79,Partie_2
envie,envie,NOUN,79,Partie_1
forme,forme,NOUN,79,Partie_2
impression,impression,NOUN,79,Partie_2
pluie,pluie,NOUN,79,Partie_2
refuser,refuser,VERB,79,Partie_2
rêve,rêve,NOUN,79,Partie_1
toucher,toucher,VERB,79,Partie_2
tuer,tuer,VERB,79,Partie_2
Rosenwald,Rosenwald,PROPN,78,Partie_2
ancien,ancien,ADJ,78,Partie_2
cristal,cristal,NOUN,78,Partie_2
partir,partir,VERB,78,Partie_2
plume,plume,NOUN,78,Partie_1
père,père,NOUN,78,Partie_1
suivre,suivre,VERB,78,Partie_1
sœur,sœur,NOUN,78,Partie_2
croiser,croiser,VERB,77,Partie_2
forme,forme,NOUN,77,Partie_1
former,former,VERB,77,Partie_1
frère,frère,NOUN,77,Partie_2
lit,lit,NOUN,77,Partie_1
mourir,mourir,VERB,77,Partie_1
retenir,retenir,VERB,77,Partie_1
